tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Modern Languages & Literatures,1452,University of Ottawa,Luis,,Abanto,1343688,43,good,TEACHER,PROFESSOR,3.9
Languages,1452,University of Ottawa,Luis,,Abanto,2625511,1,average,TEACHER,PROFESSOR,3.0
Management,1452,University of Ottawa,Taro,,Abarbanel-Uemura,2627172,7,poor,TEACHER,PROFESSOR,1.6
Computer Science,1452,University of Ottawa,Sadiq,,Abbas,316171,52,average,TEACHER,PROFESSOR,2.8
Engineering,1452,University of Ottawa,Ali,,Abbas,1550015,13,good,TEACHER,PROFESSOR,3.5
Marketing,1452,University of Ottawa,Chahreddine,,Abbes,2646182,4,good,TEACHER,PROFESSOR,4.3
Science,1452,University of Ottawa,Megha,,Abbey,2744098,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1452,University of Ottawa,Kevin,,Abbott,1675393,12,good,TEACHER,PROFESSOR,3.9
Biology,1452,University of Ottawa,Sara,,Abdallah,2667969,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1452,University of Ottawa,Mohammad,,Abdeen,510869,6,good,TEACHER,PROFESSOR,4.0
Social Work,1452,University of Ottawa,Elkchirid,,Abdelfettah,1687115,1,good,TEACHER,PROFESSOR,4.0
Mathematics & Statistics,1452,University of Ottawa,Ibrahim,,Abdelrazeq,1773367,24,good,TEACHER,PROFESSOR,4.4
Engineering,1452,University of Ottawa,Aziz,,Abdesselam,605053,82,poor,TEACHER,PROFESSOR,1.9
Business,1452,University of Ottawa,Ado,,Abdoulkadre,2169386,12,good,TEACHER,PROFESSOR,4.5
Engineering,1452,University of Ottawa,Sawsan,,Abdul-Majid,2136444,78,average,TEACHER,PROFESSOR,3.0
Engineering,1452,University of Ottawa,Alaa ,,Abdulridha,1956477,13,average,TEACHER,PROFESSOR,3.4
Law,1452,University of Ottawa,Marie-Pier,,Abel,2741200,0,zero,TEACHER,PROFESSOR,N/A
Law,1452,University of Ottawa,Jennie,,Abell,1683664,5,average,TEACHER,PROFESSOR,2.8
Engineering,1452,University of Ottawa,Rami,,Abielmona,232123,49,good,TEACHER,PROFESSOR,4.4
Linguistics,1452,University of Ottawa,Yasmine,,Abou Taha,2616627,3,poor,TEACHER,PROFESSOR,2.0
English,1452,University of Ottawa,Amir,,Abou-El-Kheir,2656870,2,good,TEACHER,PROFESSOR,5.0
Arabic Studies,1452,University of Ottawa,Georges,,Abou-Hsab,2206197,15,average,TEACHER,PROFESSOR,3.0
Social Sciences,1452,University of Ottawa,Zeina,,Abou-Rizk,1415053,36,average,TEACHER,PROFESSOR,3.2
Computer Science,1452,University of Ottawa,Mohammed,,Abouheaf,2661018,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1452,University of Ottawa,Tyseer,,Aboulnasr,169012,11,average,TEACHER,PROFESSOR,3.5
International Studies,1452,University of Ottawa,Rita,,Abrahamsen,1872640,11,good,TEACHER,PROFESSOR,4.5
English,1452,University of Ottawa,Zachary,,Abram,1654413,19,good,TEACHER,PROFESSOR,4.3
Political Science,1452,University of Ottawa,Ebby,,Abramson,2455045,2,good,TEACHER,PROFESSOR,5.0
Social Science,1452,University of Ottawa,Nadia,,Abu-Zahra,1226364,24,good,TEACHER,PROFESSOR,4.7
Electrical Engineering amp Computer Science,1452,University of Ottawa,Khalil,,Abuosba,2828707,0,zero,TEACHER,PROFESSOR,N/A
Economics,1452,University of Ottawa,Ram,,Acharya,1535283,20,poor,TEACHER,PROFESSOR,2.1
Criminal Justice,1452,University of Ottawa,Fernando,,Acosta,62096,22,average,TEACHER,PROFESSOR,3.4
Political Science,1452,University of Ottawa,Gaston,,Adam,937096,13,average,TEACHER,PROFESSOR,3.3
Languages,1452,University of Ottawa,Vera Alexandrovna,,Adamantova,906729,2,good,TEACHER,PROFESSOR,4.0
Languages,1452,University of Ottawa,Cristina,,Adami,711565,11,good,TEACHER,PROFESSOR,3.8
Health Science,1452,University of Ottawa,Krisi,Bree,Adamo,2600629,2,average,TEACHER,PROFESSOR,2.5
