attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
Mandatory,good,good,good,1,29667658,0,,good,4,CMN3155,"Really cool guy, interesting lectures. Very difficult class, project was the hardest I've ever done so far. Would avoid if you have never taken quantitative/qualitative methods, or don't care for politics.",03/19/2018,5.0,5.0,,4,N/A,4.0,4.0,1,No,1521465780000,Yes,1452,No,,C,"['Tough grader', 'Amazing lectures ']",people,person
Mandatory,good,average,good,1,29279904,0,,awesome,5,CMN3155,"By far one of my favourite comms classes, different interesting material. There was a midterm, group project and final all graded fairly. I found the second half of the course kind of dry because it was just a history section. However, he is very knowledgeable about public opinion research. Enjoyed this course!",12/19/2017,3.0,3.0,,5,N/A,5.0,5.0,1,No,1513705376000,Yes,1452,Yes,,A,[],people,person
Mandatory,good,good,good,1,29111941,0,,good,4,CMN3155,"Used to hate the class but it grew on me. Show up or you won't pass, he makes a clear point of that since he doesn't use slides. Learned a lot though. If you like politics you will enjoy it! Tests are hard, projects are time consuming but all in all it will help you in a professional sense one day. Highly recommend and would take again! :)",12/09/2017,4.0,4.0,,4,N/A,4.0,4.0,1,No,1512848313000,Yes,1452,Yes,,N/A,['Tough grader'],people,person
Not Mandatory,good,good,good,1,27809906,0,,awesome,5,CMN3155,"One of my favourite professors. Has a gift for taking theory and making it applicable to the real-world. Highly recommend him if you are seeking a professional communications perspective. He is also a highly engaging lecturer.  Only downside is the massive group project and that the test and exam are very tough. Overall, great prof.",02/07/2017,4.0,4.0,,5,N/A,5.0,5.0,1,Yes,1486456315000,Yes,1452,Yes,,A,"['Amazing lectures ', 'Group projects', 'Lots of homework']",people,person
Not Mandatory,poor,good,poor,0,27755052,3,,awful,1,CMN4155,Terrible. This course is so content heavy. All exams are cumulative. He is a tough marker. You need to say EXACTLY what he wants to get a good grade. He will say something is not on the exam but SURPRISE it is.,01/19/2017,5.0,5.0,,1,N/A,1.0,1.0,1,Yes,1484838398000,No,1452,Yes,,N/A,"['Test heavy', 'Tough grader', 'Lecture heavy']",people,people
Mandatory,average,good,average,1,25925102,1,,poor,2,CMN3155,First half of the class wasn't bad and the midterm was okay (although he set it out to be much easier than it was). The group project was extremely long and he added over half of the project expectations less than 1 week before it was due. He can be come off as rude when answering questions. Wouldn't recommend- lazy prof.,01/12/2016,4.0,4.0,,2,Low,2.0,2.0,1,No,1452594267000,N/A,1452,N/A,,N/A,['Tough grader'],person,person
Mandatory,average,average,average,1,25441837,0,,good,3,CMN3155,"Such a great class and professor! Everyone is complaining because you actually have to work for your grade - how university should be. He gave clear midterm and assignment instructions, I guess people are used to having their hand held in other courses. I learnt so much, it was such useful material and he is so knowledgeable. Best class, best prof.",11/18/2015,3.0,3.0,,4,Really into it,3.5,3.5,1,No,1447857140000,Yes,1452,Yes,,N/A,[],people,person
N/A,poor,good,poor,4,24324044,1,,awful,1,CMN3155,"He's knowledgeable, but conveys material it in a very dry, non-understandable way. Without any prior knowledge in the politicalresearch world you will be at a loss because he speaks of the material as if everyone has the knowledge already. The exams are very difficult and all short answer -- if the course was better organized it would be enjoyable",01/23/2015,5.0,5.0,,1,Meh,1.0,1.0,1,No,1422006455000,N/A,1452,N/A,,N/A,['Tough grader'],person,people
Not Mandatory,average,good,average,1,24284640,1,,poor,2,CMN3155,"The first half of the semester is somewhat organized but the second half is all over the place. Exams consist of 1-2 multiple choice questions and the rest is short answer questions. If you love politics, you might do well! Listen to his lectures and take notes! For the exams, study your notes and the deck (don't buy the course pack). ",01/14/2015,4.0,4.0,,2,Meh,2.0,2.0,1,Yes,1421195987000,N/A,1452,Yes,,N/A,[],person,person
Not Mandatory,good,good,good,1,24129948,1,,awesome,5,CMN3155,"Best professor I have ever had at the University of Ottawa. Keep in mind this man is NOT an academic that lives in the world of theory and unicorns. He's experienced and extremely knowledgeable, he understands the ins and outs of both the private and public sector communications jobs. If you want to get your money's worth, take Gordon Lucke. ",12/18/2014,4.0,4.0,,4,It's my life,4.5,4.5,1,Yes,1418877763000,N/A,1452,Yes,,Not sure yet,"['Group projects', 'Tough grader', 'Gives good feedback']",person,person
Mandatory,average,good,good,1,23013115,1,,good,3,CMN4128,So much work! He is funny and full of real world knowledge. Assignments are very difficult to complete due to the vagueness of the case studies given. Learned so much from him. Such an easy going intelligent man! Highly recommendable.,04/09/2014,4.0,4.0,,5,Really into it,4.0,4.0,1,Yes,1397056756000,N/A,1452,N/A,,A,[],person,person
N/A,poor,good,poor,2,22985717,2,,awful,1,CMN4105,"He made the students do too much leg work for his grading (yes, you grade each other). He's pretty arrogant, and he makes it clear your opinions mean little to him. The class is ridiculously heavy. There isn't anything you can learn in this class that you can't learn off the internet. Really disappointed, especially with the amount of group work.",04/03/2014,5.0,5.0,,1,Really into it,1.0,1.0,1,Yes,1396533308000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,21524471,0,,good,3,CMN4128,You'll never do so much work for one class in your CMN undergrad career but it's worth it. Class almost becomes your second social life/community. You'll understand what I mean when it ends. He's a great guy though. I'm straight and I'll admit I see why he has the chili pepper. Good lookin guy,04/12/2013,4.0,4.0,,4,Really into it,3.5,3.5,1,No,1365733893000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,21447584,0,,awesome,5,CMN4128,"Definitely one of the BEST classes I've taken in my four years. Awesome way of teaching, you will learn A LOT. Highly recommend this course!",03/25/2013,4.0,4.0,,5,It's my life,5.0,5.0,1,Yes,1364251509000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,average,0,20950529,0,,good,4,CMN3155,"The possession of vast knowledge on politics, economy and social matters, I never seen among professors till now. Regardless of your personal taste, go to the class, you will get something important each time. You learn a lot through this course; your tuition is double back in your brain.",12/04/2012,2.0,2.0,,3,It's my life,3.5,3.5,1,Yes,1354647928000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,20794575,0,,awesome,5,CMN1010,Great professor !! really one of the best at ottawa u in terms of getting people to show up without attendance marks and truly holding class attention.. not an easy grader so don't take this class if you want a bird course.. if you like politics and are willing to pay attention it is a great class.,11/07/2012,5.0,5.0,,5,Sorta interested,5.0,5.0,1,No,1352313199000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,20706986,0,,good,5,CMN1111,One of the best professors i have had. Doesn't post slides but forces students to actually come to class and listen. really good at holding the attention of the class. Nice guy.,10/16/2012,3.0,3.0,,3,Sorta interested,4.0,4.0,1,No,1350412411000,N/A,1452,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,20528382,1,,awful,1,CMN3155,"He's ridiculous. He's so arrogant that you'd think he was a PHD, but isn't, like someone mentioned earlier. REFUSES to let students discuss their issues with him regarding changing their grades. If he was to remark something, promised he'd give us a lower mark. First portion of class was amazing, second, ALL OVER THE PLACE. SO DISORGANIZED.",07/30/2012,5.0,5.0,,1,Meh,1.0,1.0,1,Yes,1343641775000,N/A,1452,N/A,,N/A,[],person,people
N/A,good,good,good,0,20524944,0,,awesome,5,CMN3155,Definitely one of my favorite classes ever at Ottawa U! Taught by such an awesome teacher! The subject is very interesting and differs from a lot of the other communication classes offered.,07/28/2012,4.0,4.0,,4,It's my life,4.5,4.5,1,No,1343483418000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,19791024,0,,awesome,4,CMN3155,"amazing prof. he's tough, but fair. go to class and take good notes and you'll leave with a really great mark. he made class enjoyable and his lectures are very comprehendible. would without a doubt take another one of his classes.",02/01/2012,4.0,4.0,,5,Really into it,4.5,4.5,1,No,1328092830000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,average,0,19714379,0,,good,4,CMN3155,"Very hard marker. First half of the course was phenominal. Second half was all over the place, and back and forth.  GO TO CLASS. Pay attention and start the project early, and you'll love it.",01/11/2012,4.0,4.0,,3,Sorta interested,3.5,3.5,1,No,1326323331000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,19703004,0,,awesome,5,CMN3155,"Awesome teacher. His project was very interesting, different from the &quot;typical essay&quot;. I would definitely recommend this class. He is also very helpful and is very clear. Even if you do not have a lot of knowledge concerning politics, you can succeed in this class. A lot of work, though, but worth it!",01/10/2012,5.0,5.0,,4,It's my life,4.5,4.5,1,No,1326202473000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,19563688,0,,average,2,CMN3155,He is a good prof. He is really specific when he marks so try to focus on his wording when you study.,12/18/2011,4.0,4.0,,3,Low,2.5,2.5,1,No,1324242887000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,poor,good,0,19545645,0,,awesome,5,CMN3155,Hot,12/16/2011,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1324069560000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,18439515,0,,awesome,5,CMN4168,"Awesome professor! Best class I've taken in Ottawa U by far- finally someone who takes an interesting, unique pedagogical approach to make subject matter accessible and retainable. Thanks, keep up the great work!",04/20/2011,3.0,3.0,,5,It's my life,5.0,5.0,1,Yes,1303295854000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,15699688,0,,good,4,CMN3155,Awesome Prof! Really loved going to his class and it was at 8:30am so that says a lot. Made a dull subject interesting and funny. I would highly recommend him.,04/23/2009,2.0,2.0,,4,Really into it,4.0,4.0,1,No,1240515956000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,13400593,0,,good,3,CMN4168,"Hard work, and he can be vague with requirements, but once you figure out what he's looking for you'll be rewarded. Some lectures can be boring, but others are interesting, and he's got a sense of humour.",08/12/2007,4.0,4.0,,4,Really into it,3.5,3.5,1,Yes,1186947398000,N/A,1452,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,11648420,0,,awful,1,CMN3130,"like an earlier poster said, ridiculous amount of work for the mark you get out of it! Very vague requirements, disgustingly hard marker. VERY hard to get anything higher than a B+. He's ok for quantitative or public opinion.. but stay away from his planning course!!",04/03/2006,5.0,5.0,,1,It's my life,1.0,1.0,1,N/A,1144062025000,N/A,1452,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,11526738,0,,awful,1,CMNCONSULTING,No Comments,02/28/2006,4.0,4.0,,1,Really into it,1.0,1.0,1,N/A,1141138316000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,10039078,0,,poor,2,CMN4128,Ridiculous amount of work for the mark you get out of it. Follow everything he says very carefully and you still won't get an A.,07/19/2005,5.0,5.0,,2,It's my life,2.0,2.0,1,N/A,1121760460000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,3711978,0,,awesome,5,CMN3155,"Great prof - very knowledgeable - I like his no-nonsense attitude.  Assignments are extremely time-consuming, but worthwhile.  Lots of hard work, but a great course - actually feel like I learned a great deal.",04/26/2005,4.0,4.0,,5,It's my life,5.0,5.0,1,N/A,1114516019000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,2930407,0,,good,4,CMN4128,The class is very hard and there is a lot of work to do in a short time but it's SO worth it.,12/07/2004,5.0,5.0,,4,It's my life,4.0,4.0,1,N/A,1102408398000,N/A,1452,N/A,,N/A,[],people,people
N/A,poor,average,average,0,2871105,0,,poor,1,CMNORGCHANGE,"Gordo is not a tough marker, but when you work on an assignment for a gazillion hours you hope that it will be worth something...not in his case. The final is only worth 25% and you end up putting in a whole two weeks of blood sweat and tears. I will be soo happy to finish his class. Don't Take It!",12/01/2004,3.0,3.0,,3,Really into it,2.0,2.0,1,N/A,1101891636000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,2368653,0,,good,2,CMN4128,"One of the few professors who truly cares about his students and encourages them to reach their full potential.  Be prepared to work like you never have before, but you will learn in the process. Doesn't put up with BS - that's a good thing!",08/05/2004,4.0,4.0,,5,N/A,3.5,3.5,1,N/A,1091708585000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,2215312,0,,good,3,CMN,"He will make you work for his class, which is a good thing, although at the time, you wish you had dropped his class. I do not regret taking his class, but would not do it again.",06/03/2004,4.0,4.0,,4,N/A,3.5,3.5,1,N/A,1086256160000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,1962992,0,,awesome,5,CMN3155,"This is one of the best classes in my four years in comm. Very interesting class, great prof.",04/15/2004,3.0,3.0,,5,N/A,5.0,5.0,1,N/A,1081988261000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,1934634,0,,poor,2,CMN3102,Too arrogant therefore low credibility.,04/11/2004,4.0,4.0,,2,N/A,2.0,2.0,1,N/A,1081680562000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,average,0,1162089,0,,good,4,CMN3102,"His arrogance allows people to believe he has a phd when he doesn't.  Belongs in business faculty, not arts.",09/30/2003,5.0,5.0,,3,N/A,3.5,3.5,1,N/A,1064958606000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,average,0,1071220,0,,good,4,CMN,"obviously toiled for his PhD, loves his own voice - typically arrogant yet insecure.  decent prof, the love-hate dynamic is both engaging and infuriating.  tries his best.  grades rather arbitrarily it seems.  perhaps dogmatic&#63;",07/31/2003,3.0,3.0,,3,N/A,3.5,3.5,1,N/A,1059661255000,N/A,1452,N/A,,N/A,[],people,people
N/A,poor,good,poor,0,913667,0,,awful,1,COMM,"NOT HOT, you would think he is the only guy in the world with a Phd, conceded, pompous, brutal marker.",05/01/2003,5.0,5.0,,1,N/A,1.0,1.0,1,N/A,1051817484000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,546913,0,,awesome,5,CMN3102,one of top profs i've ever had.makes HORRIBLE material interesting! CUTE!,02/06/2003,4.0,4.0,,5,N/A,5.0,5.0,1,N/A,1044559651000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,460339,0,,awesome,5,CMN3102,"makes boring material interesting, expects a lot, but good work is rewarded",12/24/2002,4.0,4.0,,5,N/A,5.0,5.0,1,N/A,1040733597000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,average,0,454353,0,,average,2,CMN3102,Has very high expectations. He gives his students a voice and rewards good work.,12/20/2002,5.0,5.0,,4,N/A,3.0,3.0,1,N/A,1040383015000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,poor,0,383911,0,,poor,2,CMN3102,"unclear, arrogant, not helpful, pesimistic",12/01/2002,4.0,4.0,,1,N/A,1.5,1.5,1,N/A,1038769373000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,good,good,0,376487,0,,good,3,CMN3102,Boring class.,11/27/2002,5.0,5.0,,5,N/A,4.0,4.0,1,N/A,1038363571000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,good,good,0,369794,0,,awesome,5,CMN21483,hot&knows it. Nice ass.great prof. innovative teaching techniques.,11/24/2002,4.0,4.0,,5,N/A,5.0,5.0,1,N/A,1038148383000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,337857,0,,awesome,5,CMN3102,Great Prof. Great class. Great but,11/12/2002,3.0,3.0,,5,N/A,5.0,5.0,1,N/A,1037136334000,N/A,1452,N/A,,N/A,[],people,people
Not Mandatory,average,average,good,0,329314,0,,good,3,CMN3102,Finally a communications professor who challenges his students! Vito take note!,11/08/2002,3.0,3.0,,5,N/A,4.0,4.0,1,N/A,1036765911000,N/A,1452,N/A,,A,[],people,people
