attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rTimestamp,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,good,average,good,0,22812964,0,,awesome,5,CHM1311B,"He was a new professor, and he tried his best. His efforts (and nervousness) made class enjoyable and easy. Although he was at some points monotone, I still believe he is an excellent prof.",02/02/2014,2.0,2.0,,5,Sorta interested,5.0,5.0,1,Yes,1391357637000,N/A,1452,N/A,,N/A,[],people,people
N/A,average,average,average,0,21982277,0,,average,3,CHM1311,"Relatively easy prof. Fair, knows and explains the material well, and if you do the homework you'll get an A no problem. BIG downside: MONOTONE!!!! Just soooo boring sometimes; I would fall asleep while sitting in the front row of Marion. Still, got A+ in his course, so can't complain ;)",07/19/2013,3.0,3.0,,3,Sorta interested,3.0,3.0,1,No,1374254584000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,poor,good,1,21895587,0,,good,4,CHM1311,"Great prof, awesome personality and although he has the most monotone voice of all-time, he's a nice guy who knows the material inside-out and teaches it well. His exams were very similar to previous year's exams and were pretty easy. Many of my friends had him for CHM1321 (Organic Chem) and said he totally snaked them; seems like he changed :(",06/15/2013,1.0,1.0,,4,Sorta interested,4.0,4.0,1,No,1371309782000,N/A,1452,N/A,,N/A,[],people,person
N/A,good,average,good,0,21766863,0,,good,4,CHM1311,"Had him for gen chem.  Very decent prof, slides were very simple and easy to understand with no overlapping useless info.  Midterms and final reflected what we had covered.  Very reasonable.  Heard otherwise from his Organic Chem class however.",05/15/2013,3.0,3.0,,4,Sorta interested,4.0,4.0,1,Yes,1368631306000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,poor,good,0,21566881,0,,awesome,5,BPS1501,"Super bon enseigant, les examens sont faciles, la matière est claire et intéressante",04/19/2013,1.0,1.0,,5,It's my life,5.0,5.0,1,Yes,1366387551000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21538143,0,,awesome,5,CHM1321,"HE IS HOT, has a cute french accent and is willing to help constantly. How can you not love this teacher? Defo go for him when taking org chem or else you shall be screwed over",04/15/2013,2.0,2.0,,5,It's my life,5.0,5.0,1,Yes,1366038370000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21431494,0,,awesome,5,CHM1321,Great Organic Chem prof! Explains everything so well in a course that can be difficult. Very helpful and cares about his students. His notes are great too!,03/20/2013,2.0,2.0,,5,Really into it,5.0,5.0,1,No,1363819369000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21364368,0,,awesome,5,1120B,"For GenChem I wasn't a fan of Frank's teaching style, however the use of clickers & mastering chem will save your mark. In orgo he is a much more interesting prof. Makes funny little jokes and always comes to class looking like a babe. Love you frank <3 He is very friendly and hosts helpful review sessions before exams.",02/25/2013,3.0,3.0,,4,Meh,4.5,4.5,1,Yes,1361799242000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21339839,0,,awesome,5,CHM1311,"Great professor, very helpful and he definitely knows his stuff! He is very fair with his exams, as long as you go to class and keep up with the material you wont have any problems.",02/13/2013,2.0,2.0,,5,Sorta interested,5.0,5.0,1,Yes,1360762809000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21324615,0,,awesome,4,CHM1321,Loiseau is a great prof and actually gives a damn about teaching. Fully recommend going to his office hours if you don't understand something - he is super helpful. Class mandatory - he hand writes notes & doesn't post them online.,02/06/2013,2.0,2.0,,5,Sorta interested,4.5,4.5,1,Yes,1360157168000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,1,21322893,0,,awesome,4,1311B,"Great prof, hot, very helpful when you go to his office hours. He's willing to help with any problems you have with regards to chem. Midterms were fair and quite simple; very similar to those he posts for practice.",02/05/2013,2.0,2.0,,5,Really into it,4.5,4.5,1,Yes,1360095088000,N/A,1452,N/A,,N/A,[],people,person
N/A,good,average,good,0,21261469,0,,awesome,5,CHM1311,"Great Prof, Mid-Terms were easy, but exam was quite difficult. Pay Attention to his examples found in his notes.",01/15/2013,2.0,2.0,,5,Sorta interested,5.0,5.0,1,No,1358253623000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21258796,0,,good,4,CHMB,One word to describe him: hot. He is also an extremely good prof as well though and very caring. I actually switched into his CHM1321 class because I liked his style so much. Class is mandatory due to clicker use but you can miss up too 5 classes and still get the full marks.,01/14/2013,3.0,3.0,,4,Really into it,4.0,4.0,1,No,1358195351000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,poor,good,0,21237130,0,,good,4,CHM1311,"Fantastic prof! He's fresh out of university himself, and he does seem a little nervous and unsure of his teaching style, but he knows the material inside out. I definitely got what I expected from general chemistry!",01/09/2013,1.0,1.0,,4,It's my life,4.0,4.0,1,Yes,1357753499000,N/A,1452,N/A,,N/A,[],people,people
N/A,good,average,good,0,21187029,0,,awesome,5,CHEM1311,Since he is so young and new to professing he relates very well to his students. he is VERY fair! his practice midterms were VERY similar to his actual midterms. don't drop him as a prof!!,12/30/2012,3.0,3.0,,5,Really into it,5.0,5.0,1,No,1356888153000,N/A,1452,N/A,,N/A,[],people,people
